workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,A100_MIG_3g40gb,512,3,16,0.950413
gemm,A100_MIG_3g40gb,512,3,32,1.006803
gemm,A100_MIG_3g40gb,512,3,64,0.736434
gemm,A100_MIG_3g40gb,512,4,16,0.966387
gemm,A100_MIG_3g40gb,512,4,32,1.006803
gemm,A100_MIG_3g40gb,512,4,64,0.688406
gemm,A100_MIG_3g40gb,6144,1,128,1.000000
gemm,A100_MIG_3g40gb,6144,1,16,1.000000
gemm,A100_MIG_3g40gb,6144,1,32,1.000000
gemm,A100_MIG_3g40gb,6144,1,64,1.000000
gemm,A100_MIG_3g40gb,6144,2,16,0.999666
gemm,A100_MIG_3g40gb,6144,2,32,1.041598
gemm,A100_MIG_3g40gb,6144,2,64,0.924582
gemm,A100_MIG_3g40gb,6144,3,16,0.988730
gemm,A100_MIG_3g40gb,6144,3,32,1.041077
gemm,A100_MIG_3g40gb,6144,3,64,0.607385
gemm,A100_MIG_3g40gb,6144,4,16,1.004692
gemm,A100_MIG_3g40gb,6144,4,32,0.993150
gemm,A100_MIG_3g40gb,6144,4,64,0.542608
gemm,A100_MIG_3g40gb,8192,1,128,1.000000
gemm,A100_MIG_3g40gb,8192,1,16,1.000000
gemm,A100_MIG_3g40gb,8192,1,32,1.000000
gemm,A100_MIG_3g40gb,8192,1,64,1.000000
gemm,A100_MIG_3g40gb,8192,2,16,1.004211
gemm,A100_MIG_3g40gb,8192,2,32,1.043627
gemm,A100_MIG_3g40gb,8192,2,64,0.919920
gemm,A100_MIG_3g40gb,8192,3,16,0.994500
gemm,A100_MIG_3g40gb,8192,3,32,1.043089
gemm,A100_MIG_3g40gb,8192,3,64,0.603796
gemm,A100_MIG_3g40gb,8192,4,16,1.009979
gemm,A100_MIG_3g40gb,8192,4,32,0.995319
gemm,A100_MIG_3g40gb,8192,4,64,0.538674
stencil,A100_MIG_3g40gb,1048576,1,256,1.000000
stencil,A100_MIG_3g40gb,1048576,2,256,0.900000
stencil,A100_MIG_3g40gb,1048576,3,256,0.900000
stencil,A100_MIG_3g40gb,1048576,4,256,0.900000
stencil,A100_MIG_3g40gb,16777216,1,256,1.000000
stencil,A100_MIG_3g40gb,16777216,2,256,0.935484
stencil,A100_MIG_3g40gb,16777216,3,256,0.923137
stencil,A100_MIG_3g40gb,16777216,4,256,0.944400
stencil,A100_MIG_3g40gb,262144,1,256,1.000000
stencil,A100_MIG_3g40gb,262144,2,256,0.875000
stencil,A100_MIG_3g40gb,262144,3,256,0.954545
stencil,A100_MIG_3g40gb,262144,4,256,0.954545
stencil,A100_MIG_3g40gb,4194304,1,256,1.000000
stencil,A100_MIG_3g40gb,4194304,2,256,0.933544
stencil,A100_MIG_3g40gb,4194304,3,256,0.921875
stencil,A100_MIG_3g40gb,4194304,4,256,0.945513
stencil,A100_MIG_3g40gb,65536,1,256,1.000000
stencil,A100_MIG_3g40gb,65536,2,256,0.857143
stencil,A100_MIG_3g40gb,65536,3,256,0.857143
stencil,A100_MIG_3g40gb,65536,4,256,0.857143
stencil,A100_MIG_3g40gb,67108864,1,256,1.000000
stencil,A100_MIG_3g40gb,67108864,2,256,0.965175
stencil,A100_MIG_3g40gb,67108864,3,256,0.957352
stencil,A100_MIG_3g40gb,67108864,4,256,0.961434
