workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A100_MIG_3g40gb,3072,V1,1,128,13.565440,4274.248217,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,128,58.184704,996.517206,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,16,20.109824,6834.418453,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,16,121.124352,1134.692997,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,16,137.352699,1000.627976,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,16,125.410305,1095.914354,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,16,126.780415,1084.070863,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,16,125.056000,1099.019269,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,32,20.109824,6834.418453,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,32,64.824322,2120.175727,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,32,137.292290,1001.068259,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,32,64.524288,2130.034400,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,32,65.075714,2111.985329,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,32,67.532799,2035.143752,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,64,20.109824,6834.418453,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,64,33.885696,4055.957765,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,64,137.484802,999.666518,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,64,37.850624,3631.088173,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,64,56.071167,2451.152006,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,64,62.454271,2200.633369,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,128,20.109824,6834.418453,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,128,32.391167,4243.099818,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,128,137.505791,999.513931,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,16,66.042370,7023.619369,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,16,408.054260,1136.751930,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,16,465.659897,996.127154,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,2,16,423.089142,1096.356352,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,3,16,428.550156,1082.385485,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,4,16,421.473785,1100.558289,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,32,66.042370,7023.619369,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,32,219.728386,2111.044807,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,32,466.362885,994.625609,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,2,32,219.402237,2114.182947,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,3,32,219.599869,2112.280260,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,4,32,228.046844,2034.040282,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,64,66.042370,7023.619369,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,64,114.283009,4058.840188,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,64,466.792450,993.710305,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,2,64,128.031738,3622.980319,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,3,64,190.005760,2441.275820,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,4,64,212.183037,2186.114757,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,128,66.042370,7023.619369,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,128,108.247044,4285.165234,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,128,466.698761,993.909791,1,0.000000
gemm,A100_MIG_3g40gb,8192,Ref,0,16,156.925949,7006.563504,1,0.000000
gemm,A100_MIG_3g40gb,8192,V1,1,16,972.137451,1131.024863,1,0.000000
gemm,A100_MIG_3g40gb,8192,V0,0,16,1107.108887,993.137749,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,2,16,1006.793213,1092.092809,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,3,16,1019.746796,1078.220233,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,4,16,1002.669067,1096.584769,1,0.000000
gemm,A100_MIG_3g40gb,8192,Ref,0,32,156.925949,7006.563504,1,0.000000
gemm,A100_MIG_3g40gb,8192,V1,1,32,521.182190,2109.649272,1,0.000000
gemm,A100_MIG_3g40gb,8192,V0,0,32,1106.821594,993.395533,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,2,32,518.650360,2119.947680,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,3,32,519.364105,2117.034305,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,4,32,541.027832,2032.264447,1,0.000000
gemm,A100_MIG_3g40gb,8192,Ref,0,64,156.925949,7006.563504,1,0.000000
gemm,A100_MIG_3g40gb,8192,V1,1,64,268.818436,4090.164520,1,0.000000
gemm,A100_MIG_3g40gb,8192,V0,0,64,1105.589783,994.502342,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,2,64,300.476410,3659.227785,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,3,64,449.616379,2445.443893,1,0.000000
gemm,A100_MIG_3g40gb,8192,V3,4,64,501.514740,2192.381480,1,0.000000
gemm,A100_MIG_3g40gb,8192,Ref,0,128,156.925949,7006.563504,1,0.000000
gemm,A100_MIG_3g40gb,8192,V1,1,128,254.846466,4314.407984,1,0.000000
gemm,A100_MIG_3g40gb,8192,V0,0,128,1104.720886,995.284548,1,0.000000
gemm,A100_MIG_3g40gb,256,Ref,0,16,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,16,0.043008,780.190482,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,16,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,32,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,32,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,32,0.029696,1129.931006,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,64,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,64,0.034816,963.764689,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,64,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,64,0.040960,819.200021,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,64,0.035840,936.228546,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,64,0.038400,873.813334,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,128,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,128,0.091136,368.179771,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,128,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,512,Ref,0,16,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,16,0.235520,1139.756496,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,16,0.236544,1134.822520,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,16,0.244736,1096.836816,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,16,0.247808,1083.239694,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,16,0.243712,1101.445409,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,32,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,32,0.151552,1771.243166,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,32,0.236544,1134.822520,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,64,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,64,0.097280,2759.410438,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,64,0.236544,1134.822520,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,64,0.099328,2702.515563,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,64,0.132096,2032.124145,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,64,0.141312,1899.594161,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,128,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,128,0.163840,1638.400041,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,128,0.236544,1134.822520,1,0.000069
gemm,A100_MIG_3g40gb,1024,Ref,0,16,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,16,1.738752,1235.071844,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,16,1.765376,1216.445495,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,2,16,1.809408,1186.843270,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,16,1.841152,1166.380453,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,16,1.804288,1190.211104,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,32,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,32,1.012736,2120.477327,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,32,1.764352,1217.151505,1,0.000458
