workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,H100_SXM5,4096,4,32,0.996267
gemm,H100_SXM5,4096,4,64,0.497697
gemm,H100_SXM5,512,1,128,1.000000
gemm,H100_SXM5,512,1,16,1.000000
gemm,H100_SXM5,512,1,32,1.000000
gemm,H100_SXM5,512,1,64,1.000000
gemm,H100_SXM5,512,2,16,0.954526
gemm,H100_SXM5,512,2,32,1.137398
gemm,H100_SXM5,512,2,64,0.994772
gemm,H100_SXM5,512,3,16,0.916376
gemm,H100_SXM5,512,3,32,1.146721
gemm,H100_SXM5,512,3,64,0.952922
gemm,H100_SXM5,512,4,16,0.913381
gemm,H100_SXM5,512,4,32,1.139251
gemm,H100_SXM5,512,4,64,0.995466
gemm,H100_SXM5,6144,1,128,1.000000
gemm,H100_SXM5,6144,1,16,1.000000
gemm,H100_SXM5,6144,1,32,1.000000
gemm,H100_SXM5,6144,1,64,1.000000
gemm,H100_SXM5,6144,2,16,0.912488
gemm,H100_SXM5,6144,2,32,0.977526
gemm,H100_SXM5,6144,2,64,0.958396
gemm,H100_SXM5,6144,3,16,0.873094
gemm,H100_SXM5,6144,3,32,0.972277
gemm,H100_SXM5,6144,3,64,0.811334
gemm,H100_SXM5,6144,4,16,0.908555
gemm,H100_SXM5,6144,4,32,0.995824
gemm,H100_SXM5,6144,4,64,0.488591
gemm,H100_SXM5,8192,1,128,1.000000
gemm,H100_SXM5,8192,1,16,1.000000
gemm,H100_SXM5,8192,1,32,1.000000
gemm,H100_SXM5,8192,1,64,1.000000
gemm,H100_SXM5,8192,2,16,0.916109
gemm,H100_SXM5,8192,2,32,0.977019
gemm,H100_SXM5,8192,2,64,0.957941
gemm,H100_SXM5,8192,3,16,0.876017
gemm,H100_SXM5,8192,3,32,0.970609
gemm,H100_SXM5,8192,3,64,0.750396
gemm,H100_SXM5,8192,4,16,0.908423
gemm,H100_SXM5,8192,4,32,0.994376
gemm,H100_SXM5,8192,4,64,0.481294
stencil,H100_SXM5,1048576,1,256,1.000000
stencil,H100_SXM5,1048576,2,256,0.929389
stencil,H100_SXM5,1048576,3,256,0.950553
stencil,H100_SXM5,1048576,4,256,0.939550
stencil,H100_SXM5,16777216,1,256,1.000000
stencil,H100_SXM5,16777216,2,256,0.945981
stencil,H100_SXM5,16777216,3,256,0.972912
stencil,H100_SXM5,16777216,4,256,0.958680
stencil,H100_SXM5,262144,1,256,1.000000
stencil,H100_SXM5,262144,2,256,0.934783
stencil,H100_SXM5,262144,3,256,0.949527
stencil,H100_SXM5,262144,4,256,0.931889
stencil,H100_SXM5,4194304,1,256,1.000000
stencil,H100_SXM5,4194304,2,256,0.938714
stencil,H100_SXM5,4194304,3,256,0.964960
stencil,H100_SXM5,4194304,4,256,0.951827
stencil,H100_SXM5,65536,1,256,1.000000
stencil,H100_SXM5,65536,2,256,0.962617
stencil,H100_SXM5,65536,3,256,0.976303
stencil,H100_SXM5,65536,4,256,0.964871
stencil,H100_SXM5,67108864,1,256,1.000000
stencil,H100_SXM5,67108864,2,256,0.944014
stencil,H100_SXM5,67108864,3,256,0.975897
stencil,H100_SXM5,67108864,4,256,0.960883
